date,SP500,NASDAQ,US2,US5,US10,US20,CRUDE_W,GOLD,COPPER,CORN,WHEAT,SOYBEAN,EUR,JPY,GBP
2019-08-12,0.12378911320085367,0.12223508622471686,-0.19939354214056332,-0.46067594705622317,-0.2698495532302678,0.05265978513653877,0.1466946402258872,-0.25303906135007764,0.1272899403215239,-0.09509302059856387,-0.028324054485103473,-0.11239180944371671,0.23814816280795964,-0.5867276840515749,-0.22366738050827928
2019-08-13,0.12916039290855905,0.12724662100027914,-0.1973561068960727,-0.5008312520241315,-0.31330776616959777,0.02390324153864607,0.13695153178145947,-0.2513539504814792,0.13196097551348548,-0.09500319317535434,-0.024060189315803674,-0.10615552525472588,0.22351364968192705,-0.5891633302531734,-0.14646606225323103
2019-08-14,0.12756049228981375,0.1313565908784151,-0.24986698026885198,-0.5336729820174951,-0.3567941174759539,-0.00928617930697885,0.14086805050132806,-0.2558466617280828,0.13315526057294505,-0.07526637559831811,-0.024684004793022702,-0.10480611321988523,0.1963423456377124,-0.5671970989148395,-0.11231035678396353
2019-08-15,0.12048419799549534,0.13178877320139937,-0.27937034713362974,-0.5510374213575938,-0.39667942498067105,-0.0447900340693264,0.14751508013084985,-0.26325615858233975,0.13937333359710574,-0.03508740884374203,-0.020065170654991187,-0.1095908779777061,0.17173542981565695,-0.43638019008065804,-0.09133409760223456
2019-08-16,0.11717315431690029,0.1208054247533411,-0.36629959065080114,-0.5702907977419144,-0.4267512599208446,-0.07172522735215196,0.13549202333607685,-0.2705761429494181,0.1341412548305112,-0.0224887709306133,-0.019073365352157794,-0.1098647652994572,0.292135499097062,-0.40566982553720726,-0.06684224749382567
2019-08-18,0.11827373953786066,0.1258029426545444,-0.4026418119863717,-0.5922361654127282,-0.4688782776988224,-0.10083453246713182,0.1364301152977056,-0.2845607352325552,0.1368331014208949,-0.011227648482873321,-0.018656614891809708,-0.11310100920310376,0.2748192712487792,-0.39810517896506736,-0.04362361339114262
2019-08-19,0.1084992009823042,0.12699999741087473,-0.45176632467669153,-0.5988029713382034,-0.49140857202823074,-0.12172392670576895,0.136828396670674,-0.28900648877884944,0.13426844687120715,-0.0015185424658353264,-0.018994456276471755,-0.11434381640513472,0.26339414806064043,-0.39361141061752664,-0.020231525566773552
2019-08-20,0.10911146022551838,0.12622913121293414,-0.4985102125048946,-0.6195446415558604,-0.5057173782203037,-0.13459551457060115,0.1382296197445323,-0.279959634859114,0.13234910318970014,0.0071990877670390155,-0.01825679771539014,-0.1098608153340718,0.2261409534640435,-0.3853853066341468,-0.004796773756524916
2019-08-21,0.10904078173976244,0.12574763138249984,-0.535540953304954,-0.6198662648991763,-0.5133621669178876,-0.15115477687504772,0.13786148430123044,-0.26741316663755743,0.1301733303579831,0.015088924967453354,-0.01737930729823107,-0.10855430523259765,0.1994221303662701,-0.3835928573728567,0.006638566734053032
2019-08-22,0.10832417292946986,0.1257151339814889,-0.5655145326077822,-0.628815515483267,-0.5238045979585274,-0.16570014433079996,0.1359937789973781,-0.2642986735202796,0.1280082787160187,0.02213680814125582,-0.016349643688417362,-0.10821228013582689,0.19277415006603146,-0.37952864906428296,0.015338904498560235
2019-08-23,0.11094958991090587,0.12525166798437914,-0.6079790010038443,-0.6304890308184448,-0.5331274747868722,-0.17806916595427894,0.13752296448398107,-0.26575161797455504,0.1249920245703027,0.028768260260211575,-0.015188639150899417,-0.11119810218266325,0.19723818544672642,-0.3704158480287319,0.010694382110705433
2019-08-25,0.11354984284829894,0.12645038753429033,-0.6473480004139119,-0.6406993778572255,-0.5478982616056378,-0.1901170371787133,0.13805539794028213,-0.27004431472875196,0.12078619611780787,0.03520335153684734,-0.015399599015093964,-0.11226199707182452,0.20146890595713227,-0.36836354338322885,0.013395334346101247
2019-08-26,0.12245278175443922,0.12725259953966678,-0.6779746196994468,-0.6466480865935782,-0.5561343103921941,-0.1979496047979204,0.13955624612476,-0.27713001753481764,0.11958455242111926,0.03978449189494577,-0.013712072071078494,-0.10779122517659663,0.18239654952023923,-0.38812858666084804,0.01880342431413644
2019-08-27,0.09418296366879103,0.11380748562362025,-0.7752355014564609,-0.5702912868933361,-0.5030462522946848,-0.1869483900015484,0.12802380264180613,-0.22198970524456635,0.10923732600456337,0.04678894720821637,-0.012600384205761265,-0.10896535486646161,0.11740119455570304,-0.2977382903361499,0.03032606905187653
2019-08-28,0.09153594491397918,0.11009358556940274,-0.7920963618223594,-0.5906352597103026,-0.5235216769876758,-0.19186418279500134,0.12821063410471376,-0.21519824390237735,0.11040127591164745,0.04928551774002665,-0.011435570717932969,-0.10763677608556374,0.09379352626302248,-0.26487634454688835,0.03488525157571828
2019-08-29,0.09576468417747314,0.11330461873547767,-0.8176497255381133,-0.589312442268237,-0.5227474489997377,-0.18308377196943695,0.13031386028977784,-0.21902274322704382,0.10852222036469211,0.05236632908991236,-0.010396251932003909,-0.10772599183302549,0.07864233628868596,-0.2671023154684409,0.038893178282648905
2019-08-30,0.09945643225889103,0.11496086882545553,-0.8399184923946601,-0.603891076526073,-0.5373211240110383,-0.18551148346937052,0.12315133550934819,-0.2217053468008809,0.10871464255194607,0.05470791162282766,-0.009452735002173867,-0.10555542929884293,0.0677520813177654,-0.2686119942530199,0.040702219565744435
2019-09-01,0.10339483028865565,0.11455596344233417,-0.8574141723185884,-0.6148911114457912,-0.5492072478308302,-0.1902533984236304,0.12477159895984571,-0.22196388009568718,0.1107534856588149,0.05400050412740724,-0.008744008946096064,-0.10487245185593658,0.057791752821816325,-0.26710394131049553,0.043849312660117754
2019-09-02,0.10357585133645081,0.1180313702004529,-0.863574551780628,-0.6189860862590452,-0.542981411784403,-0.1892052509757533,0.1262771708216876,-0.2308489864358162,0.1135471965717181,0.057138033886395,-0.005906655351592161,-0.1061625127732404,0.047373958996264384,-0.27101802554186805,0.04301826944842008
2019-09-03,0.10674319350374308,0.11895356861618729,-0.8709055220343905,-0.6342302155938884,-0.5528569253746055,-0.19415355153382968,0.12118979461123669,-0.2383976223587064,0.11524873884948682,0.05818075016389732,-0.005479182209005044,-0.10366874201446058,0.03730768751512202,-0.27374947617017054,0.0473388068612914
2019-09-04,0.10984287525752312,0.1208659658406501,-0.888645895650253,-0.6475492877073281,-0.564016756986587,-0.19518083677335557,0.1225306117729728,-0.2415991783904567,0.11685014836121785,0.060524057270453555,-0.005076877822758275,-0.10104009078224373,0.03211923569306421,-0.27773264879718973,0.04660974305009728
